Target,CHK1_5DLS,Ancestor,CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,,
O=c1[nH]c2cccc(I)c2[nH]1,4,-7.75,0.69,2.65,259.94
NCC(=O)C1CC(=O)c2ccccc2C1,8,-8.85,0.78,2.86,203.09
CC1CCCN[C@@H]1C(=O)Nc1ccccc1O,8,-9.17,0.68,2.91,234.14
CO[C@H](C)C(=O)NC(N)Cc1ccc(F)cc1,15,-8.42,0.75,2.92,240.13
CN(O)N[CH]CCCCCNc1ccc(Br)cc1Cl,22,-8.59,0.46,2.93,348.05
CC(=O)N[C@@H](C)C[C@H](C)Cc1cccnc1,10,-7.92,0.83,2.88,220.16
CNC(=O)C[CH]CCc1cccc(Cl)c1C,9,-7.46,0.79,2.77,238.1
Oc1ccccc1OSCC=Cc1ccccc1,2,-7.1,0.65,2.43,258.07
COc1ccccc1CCC[C@H](O)C1=NCCN1,1,-7.83,0.8,2.99,248.15
C[C@H](O)c1ccccc1[CH]CCCc1ccccc1,2,-7.16,0.76,2.72,253.16
CN(O)C(=O)Nc1ccccc1,17,-8.55,0.49,1.82,166.07
O=C1CCCC1CN(O)C(=O)Oc1ccccc1,11,-8.92,0.66,2.97,249.1
C=C1CCOC(CC(=O)c2ccccc2)=C1C,6,-7.81,0.74,2.75,228.12
CSCC(=O)N(O)Oc1cccc(C)c1,14,-9.04,0.63,2.82,227.06
CC(C)(O)[CH]CCC(=O)Oc1ccccc1F,7,-7.97,0.63,2.6,239.11
CC1=CCC[C@@H]1CNCc1ccccc1O,8,-8.45,0.76,2.93,217.15
CCC(CC)C[CH][C](O)c1ccccc1,19,-8.45,0.74,2.78,204.15
CC1=c2c(=O)cc(C(=O)NCOC(C)C)oc2=CC1,6,-9,0.78,3.49,263.12
CC(O)c1ccccc1,8,-8.25,0.6,1.81,122.07
CCCc1ccccc1C(=O)C1CCC1O,7,-8.16,0.79,2.93,218.13
CC(=O)N(C)OCNc1cccc(Cl)c1,13,-8.29,0.63,2.66,228.07
C[C](c1ccccc1)c1ccccc1CC(N)O,2,-7.03,0.81,2.82,240.14
N[C@@H]1CN=C(NC(=O)c2ccccc2)C1,4,-9.35,0.7,3,203.11
C=C1C=CC(CCC(=O)c2ccccc2)=N1,6,-8.6,0.7,2.83,211.1
CN(O)CNc1ccccc1NNCC1CCCCC1,9,-9.15,0.46,2.81,278.21
CCC(C)[C@@H](C)CC(O)c1ccccc1,3,-8.35,0.78,2.94,206.17
COCCCCCN(O)c1ccccc1O,15,-8.31,0.55,2.44,225.14
O=C(NCO)NCc1ccccc1O,15,-8.08,0.52,2.09,196.08
C[C@H](CCCC(=O)N(C)O)c1ccccc1F,8,-8.3,0.63,2.76,239.13
CCC(O)[C](O)CCCc1ccccc1,17,-7.78,0.75,2.73,207.14
Cc1ccc([C@@H](O)[CH]C(=O)C(C)C)cc1,10,-8.22,0.82,3.03,205.12
CN(O)CSc1ccccc1NCNC1CCCCC1,8,-9.36,0.41,2.88,295.17
CC(C)[C@@H](C)CCc1cc2ccccc2o1,6,-7.35,0.72,2.59,216.15
COC(CCc1ccccc1)C[C@H](C)O,9,-7.41,0.78,2.72,208.15
CN(C)CCC1C[C@H](Cc2ccccc2)CO1,8,-7.56,0.77,2.96,233.18
C=C1NNC=C1CCC(=O)c1ccccc1O,3,-8.35,0.69,2.95,230.11
C[CH]CCC(O)(O)c1ccccc1,14,-9.11,0.69,2.85,179.11
CON(C)CC[C@@H](O)Cc1ccccc1,9,-7.92,0.72,2.76,209.14
COCC(=O)N(O)Oc1cccc(C)c1,14,-8.58,0.6,2.65,211.08
CC1=C(C)C(C(=O)CCc2ccccc2C)C1,5,-8.07,0.72,2.94,228.15
CC(C)C(O)c1ccccc1CCC[C@@H](C)O,7,-7.19,0.8,2.95,236.18
O=C1CC(c2ccccc2)=CC=C1C=CCl,0,-7.74,0.76,2.97,230.05
C[C](C(=O)NO)c1ccccc1Br,12,-7.39,0.62,2.57,241.98
CCC(=O)C[C@@H](C)Nc1cccc(C)c1O,8,-7.45,0.75,2.81,221.14
Cc1ccccc1C(=O)[C@@H](N)OC1CCCCC1,7,-7.67,0.66,2.79,247.16
CNC[C@@H](O)C(=O)Oc1cccc(C)c1,14,-8.97,0.56,2.69,209.11
c1ccc(SO[C@H]2Cc3ccccc3O2)cc1,1,-7.04,0.77,2.91,244.06
CCOCCNc1ccccc1C[C@@H](C)C(=O)CC(=O)CC,14,-8.14,0.5,2.93,305.2
CC(C)[CH][C@@H](O)CC(=O)c1ccccc1,3,-7.87,0.75,2.84,205.12
O=CCc1ccccc1,11,-7.88,0.54,1.71,120.06
CCCC(CCC(C)=O)c1ccccc1CC,1,-7.12,0.68,2.64,232.18
CCC(CCCSCC(C)=O)c1ccccc1,1,-7.15,0.64,2.67,250.14
O=C(CC[CH]Cc1ccccc1Cl)c1ccc[nH]1,3,-7.64,0.62,2.82,260.08
CCC(=O)N(O)Oc1ccc(C)cc1C,21,-8.29,0.61,2.66,209.11
C[C@H](CCCCc1cccc(Cl)c1)CNO,10,-7.65,0.56,2.59,241.12
CO[C](CCc1ccccc1)C[C@H](C)O,8,-7.41,0.78,2.85,207.14
CC(NCCC1[CH]CCCN1O)c1ccccc1,10,-8.46,0.84,3.61,247.18
CC=C(C)[C@H](C)C(=O)CCc1ccccc1C,5,-7.43,0.7,2.84,230.17
ClC1=C[C@H](NCC(Br)c2ccccc2)O1,2,-7.67,0.86,3.76,286.97
CC(=O)C1CCc2c(C)cccc2C1=O,8,-8.06,0.65,2.77,202.1
C[CH]C[C@H](O)CCc1ccccc1NCC,7,-7.55,0.74,2.96,220.17
CC=C(C)C[C@@H](O)c1ccccc1O,16,-8.19,0.72,2.92,192.12
O=C(C=C1C=NC=N1)Nc1cccs1,9,-9.8,0.73,3.55,205.03
C[C@@H](Cl)C(=O)Oc1ccccc1,9,-8.92,0.4,2.23,184.03
NCNC(=O)Nc1ccccc1O,13,-8.38,0.39,2.09,181.09
C[C](N)CCC(O)c1ccccc1O,13,-8.44,0.68,2.96,194.12
O=C(C=C1C=CN=C1)Nc1cccs1,7,-9.68,0.74,3.53,204.04
C[C](CCC(=O)NO)C(C)c1ccccc1,14,-8.35,0.59,2.85,220.13
CC(C)CC(=O)NCCCC1=CCC=CC1,16,-8.46,0.54,2.77,221.18
C[C@H](CNC(=O)C1=CC=CC1)CC1CCOC1,20,-8.7,0.79,3.64,235.16
NCCCC(CNC(=O)C1CCCC1)OOOCOc1ccccc1,20,-9.33,0.26,3.18,352.2
Cc1ccccc1[C@@H](C)O,7,-7.25,0.63,2.15,136.09
CN(O)[CH][CH]CCC(O)c1ccc(Br)cc1F,22,-8.85,0.63,3.76,303.03
CC(C)CCCNNc1ccccc1O,13,-8.25,0.38,2.28,208.16
Cc1cccc(C(=O)[CH]NCOC(C)C)c1,17,-8.79,0.45,2.74,220.13
C[C@H]1c2ccccc2CC[C@H]1C(N)=O,5,-7.64,0.72,2.92,189.12
C[CH]CC(CC)C(=O)Oc1ccccc1,16,-8.5,0.54,2.81,205.12
NC(O)Oc1ccccc1Cl,12,-7.62,0.66,2.64,173.02
Cc1cccc2c1CC(=O)C=C2,5,-8.2,0.56,2.5,158.07
CC(O)c1ccccc1OCl,10,-7.22,0.74,2.77,172.03
C[CH]CC(=O)N(O)Oc1cccc(C)c1,18,-8.87,0.61,3.16,208.1
CC(=O)CC(O)(O)CCCNCc1ccccc1/C=C(/C)O,19,-8.52,0.32,2.98,307.18
O=CCCC1COc2ccccc2C1,5,-7.4,0.68,2.83,190.1
CC=C(CCC)CCN(O)C(=O)C1CCCC1,14,-8.82,0.44,2.95,239.19
C=C(CC(=O)[CH]C)Cc1ccccc1,8,-7.09,0.65,2.69,187.11
CC(O)c1ccccc1O,8,-7.28,0.62,2.31,138.07
C[C@@H](O)C(=O)N(O)c1ccccc1NCCCC1CCCCC1=O,19,-8.62,0.41,3.49,334.19
Cc1ccccc1C(C)CCCC(=O)NN,6,-7.42,0.45,2.51,220.16
C[C](C)OOCc1ccccc1,11,-7.66,0.5,2.36,165.09
CC(=O)NC1CCC(C)C1,15,-8.66,0.59,2.73,141.12
Cc1ccc(CNC(C)(O)CCC=O)cc1,8,-7.74,0.57,2.96,221.14
COOC(=O)N(O)Nc1cccc(Cl)c1,11,-8.34,0.47,2.98,232.03
O=C1[CH]CC=C(Cc2ccccc2)C1,8,-7.27,0.65,2.83,185.1
CC(C=O)=CC=CC=C(C)c1ccccc1,1,-7.92,0.42,2.65,212.12
CC(=O)C1Cc2c(C)cccc21,6,-7.94,0.62,2.87,160.09
O=CC=c1c2cc(ccc2O)c2ccccc12,5,-7.39,0.64,3.25,222.07
CC(=CC(C)COCO)Oc1ccccc1,8,-7.41,0.59,3.18,222.13
Cc1cccc2c1[CH]C(=O)C=C2,6,-8.2,0.56,2.87,157.07
NCNC(=O)Nc1ccccc1OO,14,-7.58,0.32,2.43,197.08
CSCN(O)C(=O)CCCC(C)C,15,-7.81,0.41,2.97,205.11
C[C@@H](CCC=NN)c1cc(=O)c2ccccc2o1,2,-7.04,0.51,3.29,244.12
O=CC=C(CC[C@H]1C=CCC1)c1ccccc1,0,-7.08,0.42,3.16,226.14
C=CCC(C=CCc1ccccc1)=CC=O,2,-7.15,0.31,2.99,212.12
,,,,,
Target,HDAC8_5D1B,Ancestor,C/C=C/C(O)CC(=O)OCC(=O)c1ccc(C(C)C)cc1,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
CCOC(=O)CNC(=O)c1ccc(C(C)C)cc1,4,-9.17,0.81,1.63,249.14
CNCc1ccc(NC(=O)NCC(C)C)nc1Cl,40,-10.66,0.72,2.36,270.12
CC=C(C)C(=O)CNC(=O)c1ccc(C(C)C)cc1,4,-9.1,0.83,2.24,259.16
C=C(NC(=O)c1ccc(C(C)C)cc1)N(C)O,49,-10.54,0.79,2.43,234.14
COc1ccc(NC(=O)[C@@H](C)N(C)O)cc1F,55,-10.88,0.79,2.6,242.11
CC(C)CONC(=O)c1ccc(N(C)C)cc1O,7,-9.9,0.78,2.41,252.15
CC(C)c1ccc(C(=O)NN(O)N(C)C)cc1,19,-10.34,0.78,2.45,237.15
CCCC(C)(O)CNC(=O)c1ccc(C(C)C)cc1,6,-9.29,0.83,2.47,263.19
CC(C)CNNC(=O)c1ccc(C(C)C)cc1O,8,-9.66,0.7,2.27,250.17
CC(C)C(=O)OCC(=O)c1ccc(C(C)C)cc1O,5,-9.2,0.66,2.11,264.14
CCCCN(O)c1ccc(C(C)(C)C)cc1,8,-9.62,0.78,2.29,221.18
Cc1nc(NC(=O)NCC(C)C)ccc1C[CH]N,53,-10.9,0.74,2.81,249.17
CC(C)CNNC(=O)c1ccc(N(C)C)cc1O,9,-9.55,0.69,2.35,251.16
CCCc1ccc(C(=O)NCN(C)O)cc1,36,-10.56,0.59,2.2,222.14
C[CH][C](NO)NC(=O)c1ccc(C(C)C)cc1Cl,33,-10.42,0.72,2.86,268.1
COc1cccc(C(=O)NCN(C)O)c1C,57,-10.79,0.59,2.38,224.12
CC(C)c1ccc(C(=O)NCN(C)O)cc1,21,-10.3,0.6,2.24,222.14
CC(=O)N(C)NC(=O)c1ccc([CH][NH])c(C)c1,34,-10.85,0.77,2.98,233.12
CC(C)c1ccc(C(=O)NC(C)N(C)O)cc1,15,-10.99,0.62,2.68,236.15
C[C](O)C[C@@H](O)NC(=O)c1ccc(C(C)C)cc1,20,-10.26,0.7,2.78,250.14
CC(C)C(=O)C=CC(=O)c1ccc(N(C)C)cc1,7,-9.44,0.59,2.24,245.14
CC(C)[C](O)[C]C(=O)c1ccc(C(C)C)cc1,11,-9.66,0.79,2.74,231.14
C[CH]N(O)CNC(=O)c1ccc(C(C)C)cc1C,31,-10.38,0.62,2.79,249.16
CC(NC(=O)c1ccc(N(C)C)cc1)N(C)O,20,-10.51,0.61,2.76,237.15
CNc1cc(C(C)N)ccc1C(=O)NC[C@@H](C)O,9,-10.06,0.62,2.94,251.16
CCOc1ccc(C(=O)OC(O)OC(C)C)cc1,3,-9.18,0.62,2.7,254.12
C[CH]Cc1ccc(C(=O)NCN(C)O)cc1,45,-10.56,0.58,2.81,221.13
CCCCCC(=O)OCC(=O)c1ccc(C(C)C)cc1OC,1,-7.33,0.39,1.93,306.18
CC=CN(O)OCC(=O)c1ccc(C(C)C)cc1OC,7,-9.32,0.61,2.95,279.15
CN(O)c1cc(CN)c(C(=O)NCC(C)(C)O)cn1,13,-9.99,0.55,2.99,268.15
CC[C@@H](O)C(=O)C=CC(=O)c1ccc(N(C)C)cc1,5,-9.2,0.63,2.88,261.14
CC(=O)C(=O)C=CC(=O)c1ccc(C(C)C)cc1,3,-8.77,0.45,2.26,244.11
COc1cccc(C(=O)NCNN(C)O)c1O,17,-10.28,0.43,2.68,241.11
C=Cc1cc(N(C)C)ccc1C(=O)COC(=O)CCCCC,1,-7.98,0.4,2.37,303.18
CCC(C=CC(=O)c1ccc(C(C)C)cc1)C(C)=O,3,-9.11,0.57,2.87,258.16
[CH]Cc1cc(CCC)ccc1C(=O)COC(=O)CCl,2,-8.23,0.44,2.77,280.09
C[CH]N[C@@H](O)ONC(=O)c1ccc(N(C)C)cc1,17,-10,0.51,3.4,252.13
C[C@@H](F)N(O)C=CC(=O)C=Cc1ccccc1,5,-9.22,0.48,3.35,235.1
,,,,,
Target,HDAC8_5D1B,Ancestor,CCCC(O)CC(=O)C/C=C/c1ccccc1C,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
O=C(CC1CCCCC1)Nc1ccccc1,11,-9.92,0.82,1.51,217.15
CN(O)CC(=O)Nc1ccc(Br)cc1,17,-10.42,0.81,2.06,258
CN(O)CC(=O)Nc1cccc(Br)c1,8,-10.17,0.81,2.15,258
CC(C)SCCC(=O)Nc1ccccc1,11,-9.3,0.83,1.78,223.1
CC(C)C(=O)CN(O)CCCc1ccccc1Br,9,-10.27,0.79,2.62,313.07
CC(C)CC(=O)Nc1ccccc1,8,-9.31,0.76,1.36,177.12
CC(C)NC(=O)Nc1ccccc1,8,-9.11,0.72,1.39,178.11
C[C@@H](N)C(=O)Nc1ccc(Br)cn1,11,-10.03,0.82,2.51,243
CN(O)CC(=O)c1ccc(Br)cc1,13,-10.51,0.65,2.22,242.99
CC(C)[C](O)NC(=O)c1ccccc1,13,-10.32,0.77,2.11,192.1
CCc1cccc(C)c1CCNC(=O)CN(C)C,3,-8.26,0.83,2.11,248.19
CN(O)CNC(=O)Nc1ccc(Br)cc1,17,-10.7,0.58,2.36,273.01
CCC[C@H](C)NC(=O)c1ccc(C)cc1F,2,-8.94,0.83,2.2,223.14
CN(C)CC(=O)NC=Cc1ccccc1Cl,4,-9.14,0.87,2.47,238.09
CC[C@@H](C)CNC(=O)c1ccccc1F,5,-9.25,0.81,2.12,209.12
C[C@@H](N)CCSC(=O)Nc1ccccc1,11,-10.29,0.83,2.64,224.1
CC(C)C(O)CC(=O)c1ccccc1Cl,4,-9.66,0.8,2.43,226.08
CCC(=O)CCC(=O)c1ccccc1F,3,-9.17,0.7,1.88,208.09
[CH][C@@H](C)CNC(=O)Nc1ccc(Cl)cc1,17,-10.44,0.81,2.71,224.07
CNCCC(F)=CC(=O)Nc1ccccc1,9,-9.92,0.75,2.39,222.12
CC[C@@H](O)NC(=O)c1cccc(Cl)c1,12,-10.08,0.75,2.42,213.06
CCOC(CN)CC(=O)Nc1ccccc1,10,-9.88,0.76,2.44,222.14
CC(C)CN(O)Cc1ccccc1,7,-9.95,0.72,2.08,179.13
CCC(CC(=O)Nc1ccccc1)C(C)Cl,11,-9.93,0.78,2.72,239.11
CC(C)(C)N(O)CCc1ccccc1F,8,-9.28,0.78,2.33,211.14
CC(C)CNN(O)Oc1ccc(Cl)cc1,16,-10.3,0.76,2.77,230.08
CC(=O)C(Br)CC(=O)Nc1ccccc1O,6,-9.66,0.66,2.67,285
C[C@@H](N)CC=CCC(=O)Nc1ccccc1,13,-10.21,0.75,2.64,218.14
CC(C)(C)[C@H](O)COc1ccccc1F,5,-8.88,0.83,2.43,212.12
Cc1ccccc1C(=O)C[C](O)C(C)C,4,-9.43,0.77,2.36,205.12
CC(C)CCN(O)c1ccccc1,7,-9.95,0.72,2.24,179.13
CCC(CC)NC(=O)NC=Cc1ccccc1C,1,-8.33,0.82,2.51,246.17
CC[C@@H](O)Oc1ccc(Cl)c(Cl)c1,8,-9.2,0.79,2.54,220.01
C[C@@H](N)CC=CC(=O)Nc1ccccc1,9,-9.88,0.74,2.48,204.13
CC(C)C[C@H](O)CC(=O)c1ccccc1,3,-8.95,0.75,2.25,206.13
CN(O)NC(=O)c1cccc(Cl)c1,7,-9.51,0.71,2.26,200.04
CNCC(OC)C(C)CC(=O)Nc1ccccc1,11,-9.9,0.78,2.9,250.17
CC(C)=C(O)CN(O)CCCc1ccccc1Cl,8,-10.2,0.61,2.7,269.12
CC(C)N(O)CN(O)CCCc1ccccc1Br,7,-10.16,0.6,2.98,316.08
CC(C)(C)N(O)CC=Cc1ccccc1,5,-9.39,0.77,2.5,205.15
CC(CCl)C(=O)NCCCc1ccccc1Cl,7,-8.92,0.63,2.42,273.07
CCC(CC)OC(=O)NC=Cc1ccccc1C,1,-7.82,0.86,2.59,247.16
CCO[C@@H](C)N(O)Cc1ccc(Br)cc1,17,-10.1,0.66,2.93,273.04
CC[C](O)Oc1cccc(Cl)c1Cl,4,-8.54,0.84,2.6,219
CCCC(=O)OC(=O)Nc1ccccc1C,2,-8.15,0.63,1.93,221.11
CC(C)(C)CN(O)c1ccccc1,7,-9.88,0.71,2.38,179.13
CCCN(O)CC(=O)NCCc1ccccc1C,1,-7.73,0.72,2.26,250.17
CSCCC(O)NC(=O)Nc1ccccc1,5,-9.41,0.69,2.6,240.09
C[C@H](Br)NC(=O)Nc1ccccc1,7,-9.29,0.61,2.39,242.01
CCCC(O)OC(=O)Nc1ccccc1C,1,-8.59,0.77,2.5,223.12
CN[C@@H](CO)C(=O)c1ccccc1,5,-9.75,0.66,2.28,179.09
CN(C)C(C)(C)CCC(O)Cc1ccccc1F,3,-8.33,0.84,2.85,253.18
CCC(O)Oc1cccc(Br)c1O,6,-8.92,0.81,2.87,245.99
CCCC(O)CC(=O)c1ccccc1CN(C)C,2,-8.39,0.75,2.62,249.17
CC(N)CC(O)CC(=O)Nc1ccccc1,7,-9.58,0.7,2.64,222.14
C[C@@H](N)SCNC(=O)Nc1ccccc1,14,-9.92,0.68,2.79,225.09
CC(C)N(O)C=C(O)CCCc1ccccc1Cl,7,-9.53,0.6,2.73,269.12
CCCC[C@@H](O)C(=O)c1ccccc1C,2,-8.47,0.75,2.4,206.13
CN(CCC(CO)Oc1ccccc1)C(C)(C)C,3,-7.92,0.84,2.81,251.19
CCCC(O)CC(=O)NC=Cc1ccccc1F,3,-8.68,0.82,2.97,251.13
CC[C](O)NC(=O)NCc1ccccc1O,5,-9.28,0.62,2.45,223.11
CCO[C@@H](C)CC(=O)Cc1ccccc1O,2,-8.63,0.8,2.74,222.13
C[C](C)[C@@H](O)CC(=O)c1ccccc1C,3,-9.43,0.77,2.78,205.12
CC(N)C(=O)NC=Cc1ccccc1F,7,-9.53,0.79,2.88,208.1
CCOC(=O)C=NCc1ccccc1Br,3,-8.62,0.62,2.59,269.01
CC(Cl)C(=O)NC=Cc1ccccc1F,4,-9.23,0.79,2.95,227.05
CC(N)C(C)CC(=O)Nc1ccccc1O,10,-9.83,0.68,2.81,222.14
CC(C)NC[CH]N(O)Cc1ccccc1,9,-9.43,0.7,2.66,207.15
CC(C)N(O)COc1ccccc1,13,-10.2,0.57,2.38,181.11
CC(C)N(O)CN(O)CCCc1ccccc1F,8,-10.11,0.58,2.88,256.16
C=C(C)N(O)CC(=O)NCCc1ccccc1C,2,-7.19,0.76,2.44,248.15
CCCCC(O)NC(=O)Nc1ccccn1,6,-9.37,0.67,2.69,223.13
CN(O)CCOCCOc1ccccc1F,2,-8.52,0.57,2.23,229.11
CC(O)C(C)CC(=O)Nc1ccccc1O,6,-9.45,0.68,2.77,223.12
CCO[C@@H](O)CC(=O)Nc1ccccc1C,2,-8.02,0.75,2.51,223.12
CC(C)C(O)CCC[C@H](O)Cc1ccccc1Cl,1,-7.43,0.8,2.83,270.14
O=C(CCCCNO)NC=Cc1ccccc1Br,2,-8.36,0.54,2.72,312.05
CC(C)(C)C(O)OCc1ccccc1F,3,-8.47,0.78,2.78,212.12
CC(Cl)C(C)CC(=O)Nc1ccccc1O,6,-9.44,0.63,2.87,241.09
CC[C@@H](O)Oc1cccc(Cl)c1O,5,-9.07,0.74,2.8,202.04
CCNN(O)CC(=O)c1ccccc1CN(C)C,4,-9.61,0.56,2.79,251.16
CCCN(O)SC(=O)c1ccccc1CN(C)C,4,-8.75,0.63,2.89,268.12
CC(C)[C@@H](C)N(O)C=Cc1ccccc1,5,-9.32,0.76,2.98,205.15
CSC(O)CCC(=O)Cc1ccccc1C,2,-8.46,0.77,2.99,238.1
COc1ccccc1C(=O)C[CH]C(C)C,2,-8.12,0.69,2.45,205.12
CCOC(O)OC(=O)c1ccccc1Cl,2,-8.99,0.63,2.74,230.03
CC(O)N(C)NC(=O)c1ccccc1F,9,-10.28,0.57,2.86,212.1
C[C@@H](N)CSCCC(O)c1ccccc1,4,-8.86,0.73,2.93,225.12
C[CH]C[C@H](C)CNC(=O)c1ccccc1O,2,-8.04,0.8,2.83,220.13
CC(C)C=CN(O)Nc1ccccc1,13,-9.61,0.72,2.93,192.13
CC(O)CCN(O)c1ccccc1,4,-9.8,0.69,2.87,181.11
Cc1ccccc1C(=O)O[C@H](O)C(C)C,4,-9.03,0.61,2.61,208.11
CN(C)CN(O)c1ccccc1,13,-10.34,0.54,2.57,166.11
CCOC(C)CC(=O)c1ccccc1C,1,-7.74,0.69,2.49,206.13
CCOC(O)CC(=O)c1ccccc1C,2,-9.25,0.59,2.68,208.11
C[C@@H](Cl)CCC(CO)Oc1ccccc1,3,-8.12,0.76,2.96,228.09
C[CH]N(O)c1ccccc1F,4,-10,0.66,2.78,154.07
CC(CCl)C(=O)NCOCc1ccccc1Cl,7,-8.84,0.49,2.79,275.05
CCCC(O)OC(=O)Nc1ccccc1O,3,-9.02,0.54,2.67,225.1
CCC(Cl)CCC[C@H](O)Cc1ccccc1F,2,-7.43,0.74,2.97,258.12
CCC[C@H](O)CSc1cccs1,3,-8.68,0.74,3,202.05
CCCO[C@@H](N)CC(=O)c1ccccc1O,5,-9.28,0.57,2.86,223.12
CCCCCC(O)Oc1ccccc1CC,3,-8,0.56,2.45,222.16
CC(N)(O)CCc1ccccc1,5,-8.54,0.66,2.49,165.12
C[C@@H](CCCO)N(O)N(O)c1ccccc1,7,-9.63,0.64,3.3,226.13
Cc1cccc(OC(C)(O)O)c1O,6,-8.64,0.59,2.58,184.07
C[C](O)C(O)=CC=Cc1ccccc1F,2,-8.71,0.59,2.77,207.08
C=C(C)C(Cl)CC(=O)Nc1ccccc1O,2,-9.22,0.48,2.86,239.07
Cc1ccccc1CCNC(O)=NN(C)O,5,-9.81,0.41,2.75,223.13
CCc1cccc(O)c1C=CCCC(=O)OOC,1,-7.36,0.62,2.83,250.12
CCCC(O)CC(=O)c1ccccc1CN(C)O,3,-8.27,0.58,2.99,251.15
OCCCNN(O)c1ccccc1,3,-9.56,0.46,2.62,182.11
CC(=O)N(O)N=C(O)CCCc1ccccc1F,5,-9.15,0.37,2.83,254.11
OCC(=CC=Cc1ccccc1)CCNO,3,-8.82,0.51,2.86,219.13
CCOC(C)=NC(=O)CC=Cc1ccccc1C,1,-7.05,0.6,2.82,245.14
Cc1ccccc1O[C@H](O)[C@@H](O)C(C)O,3,-8.98,0.63,3.25,212.1
CC(NC(=O)Nc1ccccc1O)C(N)O,9,-10.06,0.37,2.99,225.11
Cc1cccc(COC(=O)CN(C)O)c1C(=N)O,7,-9.39,0.32,2.85,252.11
COCCSc1ccccc1SCSC(=O)CO,2,-7.26,0.45,2.98,304.03
CC(O)CC(O)OCCC[C@H](F)Cc1ccccc1Br,3,-7.84,0.53,3.72,348.07
C=C(O)C(O)ONC(=O)c1ccccc1,7,-9.77,0.39,2.98,209.07
NCCNC(N)N=CCc1ccccc1O,3,-8.41,0.4,3.54,222.15
,,,,,
Target,HDAC8_5D1B,Ancestor,CCCC(O)CC(=O)C/C=C/c1ccccc1Cl,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeigth
CC(C)CNC(=O)Cc1ccc(Br)cc1,6,-9.22,0.9,1.64,269.04
CC(C)C(=O)NCc1ccc(Br)c(Cl)c1,5,-9.38,0.91,1.89,288.99
CCC1CCC(C(=O)Nc2ccccc2)CC1,10,-9.75,0.84,1.61,231.16
CN(O)CCNC(=O)c1cccc(Br)c1,69,-10.44,0.82,2.08,272.02
CC(C)C(=O)NCCCc1ccccc1Br,7,-9.27,0.83,1.84,283.06
CCCCCCC(=O)NC(=O)c1ccc(Br)cc1O,38,-8.9,0.79,1.97,327.05
CC(=O)CNC(=O)c1ccc(F)c(Cl)c1,38,-10,0.86,1.81,229.03
CC(C)CNC(=O)Cc1ccc(F)c(Cl)c1,8,-9.42,0.87,1.78,243.08
CC(C)N(C)CC(=O)Nc1ccc(F)c(F)c1,14,-9.57,0.88,1.88,242.12
CC(C)[C@@H](N)C(=O)Nc1ccc(Br)cc1,16,-9.59,0.89,2.16,270.04
Cc1ccc(NC(=O)CN(C)C(C)C)c(C)c1,11,-9.23,0.87,1.79,234.17
CN(O)CCNC(=O)c1cccc(Cl)c1,56,-10.51,0.77,2,228.07
CC(C)C(=O)NNCc1ccccc1Br,4,-9.32,0.82,2.16,270.04
Cc1c(Br)cccc1NNC(=O)C(C)C,7,-9.7,0.83,2.3,270.04
CC(C)C(=O)NCc1ccccc1,4,-9.32,0.75,1.38,177.12
CC(C)NC(=O)NCc1c(F)cccc1F,8,-9.4,0.82,1.92,228.11
Cc1cc(C)cc(NC(=O)NC(C)C)c1,7,-9.61,0.77,1.75,206.14
CC(=O)CNC(=O)c1ccccc1,6,-9.53,0.75,1.48,177.08
CC(C)(C)NC(=O)CCc1ccccc1F,5,-8.57,0.84,1.78,223.14
CCC[C@@H](C)N(C)CC(=O)Nc1ccc(F)cc1,14,-9.48,0.84,2.27,252.16
Cc1ccc(NNC(=O)C(C)C)cc1Cl,9,-9.87,0.78,2.02,226.09
CC(C)N(C)C(=O)Nc1ccccc1,8,-9.55,0.77,1.69,192.13
CC[C@@H](CCN)CC(=O)Nc1ccc(F)cc1,41,-10.44,0.8,2.37,238.15
CC(C)[C@@H](O)C(=O)Nc1cccc(Cl)c1,18,-9.88,0.83,2.25,227.07
CCO[C]1CN(CC(=O)Nc2ccccc2)C1,6,-9.31,0.84,2.16,233.13
Cc1ccc(NC(=O)N[C@@H](C)CN(C)C)cc1,15,-9.68,0.84,2.29,235.17
C[C@@H](NC(=O)Nc1ccc(Cl)cc1)C(N)=O,31,-9.92,0.75,2.15,241.06
CCC[C@H](O)CC(=O)Nc1ccc(Cl)cc1,10,-9.21,0.83,2.19,241.09
CC[C@H](CN)CCC(=O)Nc1ccc(F)cc1,47,-10.1,0.8,2.34,238.15
CCC(=O)COC(=O)Nc1ccccc1F,1,-8.69,0.86,1.97,225.08
CC(=O)CNC(=O)c1ccccc1O,10,-9.62,0.74,1.77,193.07
C=C(O)CNC(=O)c1cc(Cl)ccc1F,11,-9.74,0.78,2.15,229.03
CC(C)[C@@H](O)C(=O)Nc1ccc(F)c(F)c1,53,-9.99,0.83,2.36,229.09
CCN[C@H](C)CC(=O)Nc1ccc(C)c(C)c1,21,-9.68,0.82,2.28,234.17
CC[C@@H](C)NC(=O)c1ccc(Cl)cc1F,32,-9.18,0.85,2.15,229.07
